Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID
How to Train Your Dragon,"Fantasy, Family, Action",8.077,793.171,06-06-2025,"Mason Thames, Nico Parker, Gerard Butler, Nick Frost, Gabriel Howell","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",1409.0,
Lilo & Stitch,"Family, Science Fiction, Comedy, Adventure",7.351,633.1745,17-05-2025,"Maia Kealoha, Sydney Agudong, Chris Sanders, Zach Galifianakis, Billy Magnussen",The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,1222.0,
M3GAN 2.0,"Action, Science Fiction, Thriller",7.634,505.6093,25-06-2025,"Jenna Davis, Allison Williams, Violet McGraw, Ivanna Sakhno, Amie Donald","After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",577.0,
The Fantastic 4: First Steps,"Science Fiction, Adventure",7.338,416.2964,23-07-2025,"Pedro Pascal, Vanessa Kirby, Ebon Moss-Bachrach, Joseph Quinn, Ralph Ineson","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",746.0,
Bride Hard,"Action, Comedy",5.944,398.7898,19-06-2025,"Rebel Wilson, Anna Camp, Anna Chlumsky, Da'Vine Joy Randolph, Gigi Zumbado","Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before  one where she cant risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.",53.0,
Happy Gilmore 2,Comedy,6.8,372.098,25-07-2025,"Adam Sandler, Julie Bowen, Christopher McDonald, Sunny Sandler, Benny Safdie","Happy Gilmore isn't done with golf  not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",401.0,
Man with No Past,"Action, Drama",6.413,326.2724,13-01-2025,"Jon Voight, Adam Woodward, Marton Csokas, Charlotte Vega, Philip Winchester","Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.",43.0,
Superman,"Science Fiction, Adventure, Action",7.419,320.7292,09-07-2025,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Nathan Fillion","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",1347.0,
Ice Road: Vengeance,"Action, Thriller, Drama",6.912,307.8691,27-06-2025,"Liam Neeson, Fan Bingbing, Marcus Thomas, Grace O'Sullivan, Saksham Sharma","Big rig ice road driver Mike McCann travels to Nepal to scatter his late brothers ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers homeland.",156.0,
Karate Kid: Legends,"Action, Adventure, Drama",7.211,306.2789,08-05-2025,"Jackie Chan, Ben Wang, Joshua Jackson, Sadie Stanley, Ming-Na Wen","After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition  but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",582.0,
Angels Fallen: Warriors of Peace,"Horror, Action, Fantasy, Adventure",5.8,281.3527,09-07-2024,"Josh Burdett, Arifin Putra, Cuba Gooding Jr., Michael Teh, Denise Richards","When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.",41.0,
Jurassic World Rebirth,"Science Fiction, Adventure, Action",6.3,250.4601,01-07-2025,"Scarlett Johansson, Jonathan Bailey, Mahershala Ali, Rupert Friend, Manuel Garcia-Rulfo","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",875.0,
Ballerina,"Action, Thriller, Crime",7.491,245.5089,04-06-2025,"Ana de Armas, Keanu Reeves, Ian McShane, Anjelica Huston, Gabriel Byrne","Taking place during the events of John Wick: Chapter 3  Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",1228.0,
KPop Demon Hunters,"Animation, Fantasy, Comedy, Music, Family, Action",8.479,218.7749,20-06-2025,"Arden Cho, May Hong, Ji-young Yoo, Ahn Hyo-seop, Yunjin Kim","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",879.0,
Thunderbolts*,"Action, Science Fiction, Adventure",7.408,216.9315,30-04-2025,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus, Lewis Pullman, David Harbour","After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",2099.0,
Final Destination Bloodlines,"Horror, Mystery",7.17,213.8732,14-05-2025,"Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt, Richard Harmon, Owen Patrick Joyner","Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",1812.0,
Dangerous Animals,"Horror, Thriller",6.5,198.0632,05-06-2025,"Hassie Harrison, Jai Courtney, Josh Heuston, Ella Newton, Liam Greinke","A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",118.0,
The Old Guard 2,"Action, Fantasy",6.039,166.9309,01-07-2025,"Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari, Luca Marinelli",Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,585.0,
F1,"Action, Drama",7.616,157.3218,25-06-2025,"Brad Pitt, Damson Idris, Javier Bardem, Kerry Condon, Tobias Menzies",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 teamand mentor a young hotshot driverwhile chasing one more chance at glory.,951.0,
Heads of State,"Action, Thriller, Comedy",6.945,156.8043,02-07-2025,"Idris Elba, John Cena, Priyanka Chopra Jonas, Paddy Considine, Carla Gugino","The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",610.0,
xXx,"Action, Adventure, Thriller, Crime",5.956,142.5236,09-08-2002,"Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",4493.0,
