Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID
Sholay,Action,7.0,1.5337,15-08-1975,"Dharmendra, Amitabh Bachchan, Sanjeev Kumar, Amjad Khan, Hema Malini","After his family is murdered by the notorious bandit Gabbar Singh, a former police officer enlists the services of two outlaws to capture him and seek revenge.",285.0,
Shahenshah,Action,6.2,1.2356,29-01-1988,"Amitabh Bachchan, Meenakshi Sheshadri, Aruna Irani, Rohini Hattangadi, Supriya Pathak","Inspector Srivastav is framed by a wily and cunning gangster, J.K., and unable to prove his innocence, hangs himself, leaving behind his wife, and son, Vijay. Years later, Vijay has grown up and has joined the police force as an Inspector. Unlike his dad, he is corrupt and does accept bribes to turn a nelson's eye to crime. The City Police are assigned the task of apprehending a customed man called ""Shahenshah"", who operates at night and targets, tries and kills gangsters in a ""Judge and Executioner ""style. No one knows the real identity of Shahenshah, as he is feared by the police department, and respected by the poor and middle-class.",22.0,
Rambo,Action,0.0,0.9102,01-01-2025,Tiger Shroff,,0.0,
Khakee,Action,6.441,0.796,23-01-2004,"Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan, Tusshar Kapoor","DCP Anant and his team get tasked with escorting an alleged terrorist to Mumbai. However, a rogue ex-police officer makes their task difficult as he tries to stop them from reaching their destination.",76.0,
Maa Kasam,Action,10.0,0.6913,25-10-1999,"Mithun Chakraborty, Kasam Ali, Vikas Anand, Arjun, Gavin Packard",,1.0,
Singham Returns,Action,6.1,0.6571,15-08-2014,"Ajay Devgn, Kareena Kapoor Khan, Amole Gupte, Anupam Kher, Vineet Sharma","Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.",116.0,
Thakshak,Action,6.3,0.553,02-12-1999,"Tabu, Ajay Devgn, Rahul Bose, Amrish Puri, Vineet Kumar","Nahar Singh's (Amrish Puri) fore-fathers and he have sworn to protect the family and heirs of powerful underworld don, Jodhabhai and his heirs for generations. Nahar would like his son, Ishaan (Ajay Devgan) to continue this tradition, to which he is willing as he friendly with Jodhabhai's son, Sunny (Rahul Bose). Ishaan's vow begins to falter when he falls in love with Suman Dev (Tabu). Things gets even more complicated when Suman comes forward to testify that she witnessed Sunny's car being driven from the scene of a multiple homicide. Sunny finds this out and asks Ishaan to chose between him and Suman, and Ishaan choses Suman. Things escalate out of control when Nahar is killed; and Ishaan becomes a prime suspect in the multiple-family homicide.",6.0,
Mahavatar,Action,0.0,0.5015,25-12-2026,Vicky Kaushal,"Mahavatar tells the epic story of Parashurama, the immortal warrior of dharma from Hindu mythology, whose journey spans ages as he upholds righteousness against the forces of darkness.",0.0,
Rocky,Action,7.1,0.491,25-04-1981,"Sanjay Dutt, Reena Roy, Tina Munim, Ranjeet Bedi, Aruna Irani","Sanjay Dutt makes his film debut. Shamlal is a union leader for the workers of construction company Ratanlal, who is tragically killed just when safety negotiations begin, leaving behind a devastated family.  Shamlal's youngest son Rakesh takes his father's death the hardest, having fits whenever his family comes near.  As a result, he is given up for adoption, and renamed Rocky, and assumes a carefree life with a new family.  When Rocky reaches adulthood he falls in love, only to reveal buried traumas about his past.",7.0,
Auzaar,Action,6.0,0.4741,28-02-1997,"Salman Khan, Sanjay Kapoor, Shilpa Shetty Kundra, Nirmal Pandey, Kiran Kumar",Two college friends find themselves on the opposite side of the law when they reunite.,10.0,
Commando - A One Man Army,Action,6.5,0.4475,11-04-2013,"Vidyut Jammwal, Pooja Chopra, Jaideep Ahlawat, Jagat Rawat, Ishita Vyas",A disavowed Indian commando helps protect a woman from a local thug who is hellbent on forcing her to marry him.,59.0,
Trinetra,Action,9.667,1.1451,26-07-1991,"Mithun Chakraborty, Shilpa Shirodkar, Deepa Sahi, Amrish Puri, Gulshan Grover",,3.0,
Ladki: Dragon Girl,Action,7.5,0.3602,15-07-2022,"Pooja Bhalekar, Miya Muqi, Parth Suri, Dragon Sek Tin-Lung, Abhimanyu Singh","Heavily influenced by Bruce Lees wisdom and his martial art techniques, Pooja aspires to be like him. Will she be able to follow in his footsteps, or will she be forced to compromise her desire to lead a tranquil life like other girls?",6.0,
Jung,Action,4.1,0.3484,12-05-2000,"Sanjay Dutt, Raveena Tandon, Jackie Shroff, Aditya Pancholi, Shilpa Shetty Kundra","Jung has Mithun and Ajay Devgan playing brothers, but due to circumstances, police officer Mithun had to cross swords with his brother to protect justice. The third angle of the film is the double role portrayed by Aditya Pancholi, one negative and the other positive.",8.0,
Vardi,Action,5.3,0.3469,06-01-1989,"Sunny Deol, Jackie Shroff, Kimi Katkar, Madhuri Dixit, Vinod Mehra","Lalchand (Kader Khan) is arrested by Inspector Verma (Vinod Mehra) and vows to avenge this. He does so by abducting his only son, and later informing Verma that he has killed his son, in the process of apprehending Lalchand, Havaldar Bhagwan Singh (Dharmendra) is killed by saving Verma's life. Verma and his wife Shanti (Anjana Mumtaz) bring up Bhagwan's son, Ajay, as their own. Years later Ajay (Sunny Deol) has grown up to be a police inspector as well, Verma is now the Commissioner. Together they band together to stop Lalchand, who is now a crimelord of international standards, from carrying on terrorist activity in the country; and also try and locate Verma's son, who they find out is still alive, but leads a life of crime",3.0,
Enemmy,Action,8.0,0.3458,21-06-2013,"Suniel Shetty, Mithun Chakraborty, Kay Kay Menon, Johny Lever, Zakhir Hussain","Enemmy follows daredevil CID officers against an underworld don.  Four under cover cops Eklavya (Sunil Shetty), Naeem (Kay Kay Menon), Madhav (Mahaakshay Chakraborty) and Eric (Johny Lever) get the assignment to stop a gang war over a missing sum of money. They manage to put under world don Mukhtar Memon (Zakir Hussain) behind the bars but that doesn't solve the problem. Later, a senior CBI officer Yugandhar (Mithun Chakraborty) starts investigating the case",3.0,
Fight Club: Members Only,Action,6.4,0.3359,17-02-2006,"Suniel Shetty, Sohail Khan, Zayed Khan, Riteish Deshmukh, Dino Morea",Four friends head off to Bombay and get involved in the mother and father of all gang wars.,25.0,
Jaagruti,Action,3.75,0.3161,03-07-1992,"Salman Khan, Karisma Kapoor, Ashok Saraf, Shiva Rindani, Prem Chopra","Vishal is brutally killed in the presence of his younger brother, Jugnu. Jugnu is grown up now and he must avenge his brother's death, but he is alone, and has an uphill task.",4.0,
Jai Vikraanta,Action,7.0,0.3084,24-03-1995,"Sanjay Dutt, Zeba Bakhtiar, Amrish Puri, Shahbaz Khan, Suresh Oberoi","Choudhary Amar Singh is a farmer in rural India and lives a modest lifestyle with his wife, Sharda, and son, Vikraanta. He excels in sugar cane production and is presented an award and a tractor by the State Government. He has named his farm after his son, and expects him to continue farming.",5.0,
Baazi,Action,9.5,0.3033,27-04-1984,"Dharmendra, Rekha, Mithun Chakraborty, Ranjeeta Kaur, Shakti Kapoor","Baazi is an action film, where Dharmendra and Mithun Chakraborty plays the lead role, well supported by Rekha and Ranjeeta.",4.0,
Tasveer,Action,0.0,0.3003,02-10-1966,"Feroz Khan, Rajendranath Malhotra, Nazir Hussain, Raj Mehra, Helen","Shyam (Feroz Khan) falls in love with the face on a painting, painted by his best friend Ishrat. He finds the girl and convince her father to marry her. Brings back the girl to town and then the two love triangle starts.",0.0,
Duniya Meri Jeb Mein,Action,6.0,0.2882,26-07-1979,"Neetu Singh, Rishi Kapoor, Shashi Kapoor, Ranjeet Bedi, Nadira","A student in a prestigious college, Vishal Khanna believes he lives a wealthy lifestyle along with his businessman brother, Karan. Vishal meets with and falls in love with Neeta, the only daughter of wealthy widower, Gulabchand. Gulabchand meets with Karan and both finalize Vishal and Neeta's marriage. Then things spiral out of control when Gulabchand is killed while Karan is run over by a lorry, and ends up losing both his legs. Vishal undertakes to look after the now crippled Karan, but has more surprises to face when Police Inspector Yadav informs him that Karan was never a businessman, but a trapeze artiste in Amar Circus, and is also a suspect of a daring robbery and the murder of Gulabchand.",1.0,
Himmat,Action,2.0,0.2813,05-01-1996,"Sunny Deol, Tabu, Shilpa Shetty Kundra, Naseeruddin Shah, Sudesh Berry","Two Indian secret agents, Ajay and Abdul, share a brotherly bond. However, when Abdul is killed in the line of duty, the mission is handed over to Ajay, who decides to avenge his friend's death.",2.0,
Kasam,Action,3.0,0.2771,12-10-2001,"Naseeruddin Shah, Sunny Deol, Chunky Pandey, Neelam Kothari, Sonu Walia","Mangal Singh is the head of a village that gets it's revenue by selling cocaine. When Police Inspector Kisna finds out he goes to live incognito with the villagers to try and talk them out of dealing with drugs. He meets and falls in love with Mangal's daughter, Savi, and gets married to her.",1.0,
Veergati,Action,5.4,0.2752,29-09-1995,"Salman Khan, Farida Jalal, Divya Dutta, Kulbhushan Kharbanda, Saeed Jaffrey","A gangster and his flunkies abduct and kill a man's daughter. Soon, the man's adopted son sets out to avenge her death.",7.0,
Shapath,Action,10.0,0.2648,12-12-1997,"Mithun Chakraborty, Vineeta, Jackie Shroff, Ramya Krishnan, Salim Ghouse","Inspector Kishan lives a middle-class lifestyle in Mumbai, India, along with his younger brother, Rahul. He is in love with Kavita, the daughter of a Mantri, Dindayal Kallu, while Rahul is in love with Neena. The city is being held to ransom by corrupt politicians like Rana Jung Bahadur who openly associate with gangsters and criminal dons like Chaurasia, Rajeshwar and his brother, Lankeshwar. But when Chaurasia decides to take the larger share of the underworld market, a gang-war breaks out. When Inspector Kishan attempts to arrest Chaurasia, he is warned by his superior, ACP. Rahul then witnesses a murder being committed by Chaurasia's goon, Surya, but before he could do anything, he himself is killed.",1.0,
Kal Ki Awaz,Action,6.5,0.9594,21-08-1992,"Dharmendra, Raj Babbar, Amrita Singh, Neena Gupta, Farida Jalal",,2.0,
Phool Bane Angaray,Action,6.3,0.2588,12-07-1991,"Rajinikanth, Rekha, Prem Chopra, Charan Raj, Shafi Inamdar","Dutta babu is standing for elections against a cunning, corrupt, & established gangster, Bishamber Prasad, who is also powerful and influential enough to swing the election his way, as well as have Dutta killed. Inspector Ranjit Singh gets evidence about Bishamber's involvement in Dutta's death, but his superior officer, DSP Ravi Khanna, prevents him from taking any action. Ranjit then meets with beautiful Namrata, and both get married. As Ranjit continues to be a thorn on Bishamber's side, he is killed, leaving behind a sorrowing Namrata and two children. Namrata pledges to avenge his death, but the question is when a police inspector failed, how can she succeed?",3.0,
Karate,Action,4.8,0.2522,05-08-1983,"Deb Mukherjee, Mithun Chakraborty, Yogeeta Bali, Prema Narayan, Kader Khan","A scientist creates a diamond that can focus sun-rays to burn through anything. The villain, in a bid to get the diamond, kills the scientist. The scientist's karate-learning sons, Desh and Vijay, are separated from each other and their mother. Vjay grows up with his karate instructor while Desh is reared by a gypsy camp.",2.0,
Bhagwaan Dada,Action,2.5,0.2509,25-04-1986,"Rajinikanth, Rakesh Roshan, Sridevi, Danny Denzongpa, Tina Munim","A young man, Swaroop, moves to Bombay and is immediate mugged and left without shelter. He meets a man who helps him find a place to stay and a job, but Swaroop doesn't know that the man is a notorious gangster.",2.0,
Mahaan,Action,6.3,0.2505,12-08-1983,"Amitabh Bachchan, Amjad Khan, Parveen Babi, Zeenat Aman, Ashok Kumar","A lawyer goes into hiding after being falsely accused of committing a crime, while his wife gives birth to twins. Years later, fate reunites the family under difficult circumstances.  Amitabh Bachchan in his only triple role as father with twin sons.",3.0,
Bhairav,Action,0.0,0.248,26-01-2001,"Mithun Chakraborty, Hemant Birje, Jack Gaud, Brij Gopal, Indrani Haldar","Rakesh Pandey belongs to a middle-class family, and is employed. One day when he is returning home from work, he is arrested by the police on the charge of killing a woman in cold-blood. He refutes and denies this charge, but to no avail, as the prosecution produces witness after witness that have actually seen him commit this heinous crime. Ultimately, Rakesh vows to avenge this outrage, and assumes the name of Bhairav, not realizing that he has an uphill task, and that all the odds are stacked against him, including the fact that the witness who testified against him is Mrs. Jindal.",0.0,
Marshal,Action,10.0,0.2411,13-09-2002,"Ishrat Ali, Liyaqat Bari, Mithun Chakraborty, Akshita Garud, Brij Gopal","After the traumatic death of his brother, Inspector Ritesh finds that his niece has suffered a trauma and is unable to speak, while his widowed mother and sister-in-law are devastated by his sudden death. Then while apprehending some goons he finds himself surrounded by them and there is no way of calling for help. It is then a man named Marshal shows up and rescues him. Miraculously his niece also starts to speak. Ritesh finds this a good omen for his family and asks Marshal to stay on in their house, and even proposes that he marry his sister-in-law. What Ritesh does not know is that Marshal is a hired assassin and hit-man, and his next target is none other than Ritesh himself.",1.0,
Ek Hi Raasta,Action,5.286,1.2006,22-10-1993,"Ajay Devgn, Raveena Tandon, Saeed Jaffrey, Deven Verma, Kulbhushan Kharbanda",,7.0,
Zakhmi Aurat,Action,5.5,0.2206,01-09-1988,"Dimple Kapadia, Raj Babbar, Anupam Kher, Rama Vij, Aruna Irani","Two seasoned criminals, Sukhdev and Suryakant rape inspector Kiran Dutt, a hardworking police officer. However, they get acquitted due to lack of evidence. Kiran with support from her fiance Suraj, brings together rape victims from all over the country and chalks out a plan to help them avenge their rape. Will Kiran be able to do justice to the thousands of rape victims across the country?",2.0,
Saazish,Action,9.8,0.2157,22-07-1988,"Dimple Kapadia, Mithun Chakraborty, Raaj Kumar, Amrish Puri, Raj Babbar",Bond-like adventure has a glamorous beauty queen falling for a racecar driver while visiting Hong Kong.,2.0,
Ganga Tere Desh Mein,Action,7.5,0.2115,21-10-1988,"Dharmendra, Jaya Prada, Dimple Kapadia, Kader Khan, Govardhan Asrani","Inspector Ajay lives with his widowed mother in a city in India. He has been assigned the task of bringing in notorious bandit and gangster named Cobra, who has been terrorising and killing people all over India. He does succeed in arresting him, and holds him in a cell, only to find out that he is insane, and must be institutionalised. Thereafter, Ajay awaits Cobra's treatment so that he can proceed with his investigation. One day while his mother packs his lunch, he finds out that it was poisoned, it did not affect him, but it kills another colleague. His mother, relieved to find out that Ajay is alright, is more concerned about Cobra, who was also sent some food. Ajay is baffled as to why his mother would feed a senile criminal, and he sets out to find out why. The truth will devastate him, make him lose his job, and change his outlook on life forever.",2.0,
Khatron Ke Khiladi,Action,4.0,0.2102,27-05-1988,"Dharmendra, Sanjay Dutt, Chunky Pandey, Madhuri Dixit, Neelam Kothari","Honest truck driver Balwant watch helplessly as the owners of the trucking company he works for mauled his brother, Jaswant to death. When he lodges a complaint with the police the inspector instead arrest him for this crime; the trucking company owners then burn his house killing his pregnant wife Sumati. Years later Balwant who now calls himself Karamvir operates a court called 'Teesri Adalat' by sentencing wrong-doers to death in a judge and executer style. However he is unaware that Sumati is still alive and has given birth to twins Rajesh and Mahesh; while Mahesh was separated at birth and grows up with Inspector Ram Avtar and his wife - Rajesh is taking care of his mother as she loses her mental balance in the trauma. Rajesh and Mahesh do get to unite as the girls they are in love with are link to each other. After a few misjudgments of situations at hand Rajesh and Mahesh decides that they will bring Teesri Adalat to the court of law - at any cost.",3.0,
Nastik,Action,4.0,0.2077,18-02-1983,"Amitabh Bachchan, Hema Malini, Sarika, Pran Sikand, Raju Shrestha","Nastik is a story about an atheist named Shankar.  His childhood incident and memories have turned him into a non-believer and a thief, by profession, who is out to seek revenge for his father's death by a man with one glass eye.",5.0,
Benaam Badsha,Action,5.5,0.2076,05-04-1991,"Anil Kapoor, Juhi Chawla Mehta, Shilpa Shirodkar, Amrish Puri, Sudhir Pandey","Found in a garbage bin, abandoned by his biological parents, a young man grows up to a paid assasin, kidnapper, and rapist (Anil Kapoor). One of his rape victims' is Jyoti (Juhi Chawla), who is raped on the day of her marriage to a doctor groom. Her life ruined, unwed, she decides to convince her rapist to marry her, and goes to live in his neighborhood. But her rapist will not marry her, however, she continues to pursue her goal, and after feigning a pregnancy she does convince him to allow her to move in with him - amongst ruins, without a roof. She soon starts to transform him, with considerable success. She names him Deepak, so that he has a name others can call him by. Deepak receives a contract to kill Kaameshwari (Rohini Hattangadi) by Jaikal (Amrish Puri).",4.0,
Police Officer,Action,3.0,0.1976,05-06-1992,"Jackie Shroff, Karisma Kapoor, Paresh Rawal, Aruna Irani, Gulshan Grover","Twin brothers Jai, a cop, and Kishen, a conman. After Jai is killed, Kishen takes his place to take revenge on his killers.",3.0,
Raghuveer,Action,6.3,0.1935,19-05-1995,"Suniel Shetty, Shilpa Shirodkar, Suresh Oberoi, Sudha Chandran, Mohnish Behl","Ravi Verma is an honest and diligent Inspector who lives with his wife, daughter, and brother Raghuveer. Ravi and Raghuveer are brothers with a very strong bond and both are extremely close to each other. However, their bond weakens because Raghuveer often gets into fights. Raghuveer can't stand injustice and when he watches injustice done to his professor, he fights for him.",3.0,
Hafta Bandh,Action,1.0,0.1904,01-01-1991,"Jackie Shroff, Varsha Usgaonkar, Aditya Pancholi, Ekta Sohini, Sadashiv Amrapurkar",Firangi Paisewala extorts money from poor people with his goon Kartoos whose standing in upcoming elections and threatens the people around.Inspector Bajrang Tiwari kills Kartoos in encounter as his fear is spreading like wildfire but soon he gets suspension order due to pressure from above.Bajrang lives in a place where shopkeepers are frequently harassed for extortion and his friend Iqbal is also against this.Firanagi appoints Madan Chikna for extortion in place of Kartoos whose fear starts to spread soon and also has support of corrupt inspector Rokhade.But Bajrang and Iqbal team up with their friends to stop extortion (Hafta Bandh) in their region.,1.0,
Risk,Action,4.8,0.1836,18-01-2007,"Randeep Hooda, Tanushree Dutta, Vinod Khanna, Yashpal Sharma, Zakir Hussain","""Ek crore meh laitha hai RISK!"". Risk! is a movie about a police inspector named Suryakanth who vows to clean up the Mumbai underworld. The police have been trying for 11 years to arrest the biggest don of the underworld, Khalid Bin Jamal. But Khalid isn't in Mumbai. He is living in Bangkok, free from the Mumbai police. Suryakanth starts killing Khalid's men in Mumbai. This alarms Khalid and he entraps Suryakanth in a bad scheme. How much risk is Suryakanth willing to take in order to catch Khalid? Watch Risk! and find out.",8.0,
Chandaal,Action,8.3,0.1834,13-03-1998,"Mithun Chakraborty, Govardhan Asrani, Puneet Issar, Avtar Gill","Indrajeet is an honest police officer happily living with his family. His sister loves one young fellow, subsequently it revealed that he was the brother of local don Durjan Rai Sahab Singh.",3.0,
Hum Se Hai Zamana,Action,7.0,0.1821,23-09-1983,"Mithun Chakraborty, Zeenat Aman, Danny Denzongpa, Kamal Kapoor, Amjad Khan","Years after the wealthy Thakur (Kamal Kapoor) had one of his employees killed for protesting unsatisfactory working conditions, the victim's sons return with their widowed mother to seek justice. Meanwhile, Thakur's daughter Nisha refuses to marry the man her father has picked out for her and has instead fallen in love with one of the vengeful sons. Mithun Chakraborty, Zeenat Aman and Danny Denzongpa co-star.",2.0,
Dancer,Action,3.0,0.1792,22-08-1991,"Akshay Kumar, Kirti Singh, Mohnish Behl, Laxmikant Berde, Mahesh Anand","Malti witnesses a physical altercation between her husband and Rai Bahadur Brijbhushan Sharma, as a result of which her husband gets knifed and killed. As she tries to take the knife out, the Police arrive, arrest her, and hold her in a cell. It is here that Brijbhushan visits her and warns her not to testify against him as he will kill her son, Raju. Malti accepts full responsibility of her husband's death, is found guilty, and sentenced to 14 years in jail. After her discharge, she is released and finds out that Raju is now known as Raja is very popular dancer and singer. She also gets to meet Radha and her brother, Dattu, who are looking after Raju, and hopes that her son will eventually marry Radha. She subsequently comes to know that Raju loves Priya, who is the daughter of none other than Brijbhushan. Malti is not ready to expose Brijbhushan as her husband's killer - she has other plans for him, and none of her plans include Priya as her future daughter-in-law.",1.0,
Badmaash,Action,7.0,0.1788,23-01-1998,"Jackie Shroff, Shilpa Shirodkar, Paresh Rawal, Pran Sikand, Bindu Desai",A young man is entrapped in a never-ending web of deceit and deception.,2.0,
Gunda,Action,5.5,0.1676,04-09-1998,"Mithun Chakraborty, Verna Raj, Ishrat Ali, Rana Jung Bahadur, Bajrangi","Shankar, a coolie, comes in the way of the bad guys, Bulla and his cronies. They kill his father and sister. Shankar vows revenge and eliminates all of them in bizarre and gruesome fashion.",18.0,
Professor Pyarelal,Action,6.0,0.1652,18-02-1981,"Dharmendra, Zeenat Aman, Simi Garewal, Shammi Kapoor, Amjad Khan","Kishinchand has taken to a life of crime, namely that of forging passports, and for that is under surveillance by the police. Upon his wife, Shanti's, and son, Pyarelal's insistence, he decides to give up all criminal activity and become honest. Then Shyamlal approaches him to make a fake passport, which he does, for a suitcase full of gold bars. Shyamlal escapes, but Inspector Shinde confronts Kishinchand and in the scuffle that follows, Shinde gets killed. Kishinchand re-locates to London, England, where he is now known as underworld Don, King.",1.0,
Khoon Ka Rishta,Action,0.0,0.1562,11-12-1981,"Jeetendra, Neetu Singh, Pran Sikand, Kedarnath Saigal, Jagdeep",Khoon Ka Rishta is a wonderful Pran starer in which he plays an ex freedom fighter as also Justice Surendra Sinha with an impeccable honest record faced with the crimes of his half brother Kailash played by Amjad Khan.,0.0,
Agniputra,Action,10.0,0.1536,01-01-2000,"Mithun Chakraborty, Govardhan Asrani, Prem Chopra, Pinky Chinoy, Deepshika Nagpal","Arjun, a devoted son and brother, loves his mother and three sisters dearly. He sacrifices his love and happiness to safeguard his family against all odds.",1.0,
Anth,Action,4.5,0.1517,10-06-1994,"Suniel Shetty, Somy Ali, Paresh Rawal, Deepak Shirke, Neena Gupta","Anth was a 1993 Indian action film directed by Sanjay Khanna and produced by Ashok Honda and starred Sunil Shetty and Somy Ali in pivotal roles. Paresh Rawal, Deepak Shirke, Mohan Joshi, Makrand Deshpande, Alok Nath and Vijendra Ghaat also featured in the film.",4.0,
Shiva Ka Insaaf,Action,4.0,0.1513,15-03-1985,"Jackie Shroff, Poonam Dhillon, Gulshan Grover, Shakti Kapoor, Satish Kaul","A child is raised by his father's friends, who teach him the art of combat. They also provide him with supernatural weapons to help him avenge his parents' death.",2.0,
RX Suri,Action,0.0,0.1499,04-09-2015,"Adi Lokesh, P. Ravi Shankar, Duniya Vijay, Akanksha","RX Suri is inspired from the life story of Paritaala Soori, who was infamous for his criminal activities in the Rayalaseema province of Andhra Pradesh.",0.0,
Hiraasat,Action,4.0,0.1498,26-06-1987,"Mithun Chakraborty, Shatrughan Sinha, Hema Malini, Anita Raj, Prem Chopra","Assistant Commissioner of Police Ashok Saxena lives a middle-classed lifestyle along with his wife, Shobha, a former street dancer; and a younger college-going brother, Rajesh. His father",1.0,
