Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
K.G.F: Chapter 1,Kannada,"Action, Thriller, Adventure, Crime",7.458,3.9002,2018-12-20,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois, Anant Nag","A period drama set in the 1970s, KGF follows the story of a fierce rebel who rises against the brutal oppression in Kolar Gold Fields and becomes the symbol of hope to legions of downtrodden people.",240.0
K.G.F: Chapter 2,Kannada,"Action, Thriller, Adventure, Crime",7.489,3.5414,2022-04-14,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty, Archana Jois","The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.",174.0
Kantara,Kannada,"Action, Adventure, Thriller",7.1,2.3558,2022-09-30,"Rishab Shetty, Sapthami Gowda, Kishore, Achyuth Kumar, Pramod Shetty","Shiva, a tribal vagabond lives with his mother in hamlet, stays away from the traditional Daivaradhane and Bhoota Kola legacy due to an unforgettable childhood incident. He is happy loafing around with his friends and doing petty jobs for his landlord. When Forest officer Murali enters the scene, it gives a fresh dimension to the man-vs-nature fight. Can Shiva save the forest from Murali? Or is Murali just a dummy bait cast by bigger fish?",106.0
Toby,Kannada,"Action, Thriller, Mystery, Drama",8.0,1.7228,2023-08-25,"Raj B Shetty, Chaithra J Achar, Samyukta Hornad, Deepak Shetty, Gopalkrishna Deshpande",An estranged man deemed to be a beast vows to break free from the evil world and transform himself for his foster daughter.,5.0
Hiranya,Kannada,"Action, Drama",0.0,1.6823,2024-07-19,"Rajavardan, Divya Suresh, Huli Karthik, Aravind Rao",A masala entertainer. Overview TBA.,0.0
777 Charlie,Kannada,"Drama, Adventure, Comedy",7.6,1.5201,2022-06-10,"Rakshit Shetty, Raj B Shetty, Bobby Simha, Sangeetha Sringeri, Bhargavi Narayan",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie who is naughty and energetic which is a complete contrast with the Dharmas character enters his life and gives him a new perspective towards it.,51.0
Su from So,Kannada,"Comedy, Horror, Drama",10.0,1.4329,2025-07-25,"Shaneel Gautham, JP Tuminad, Sandhya Arakere, Prakash K Thuminadu, Deepak Rai Panaje","In a peaceful village full of joy, laughter, and vibrant life, everything seems perfectuntil one day, the devil arrives. What follows is a hilarious chain of events that flips the entire village upside down!",2.0
Sapta Sagaradaache Ello  Side A,Kannada,"Romance, Drama",8.2,1.3265,2023-09-01,"Rakshit Shetty, Rukmini Vasanth, Sharath Lohitashwa, Ramesh Indira, Pavitra Lokesh",,
Edagaiye Apaghatakke Karana,Kannada,"Comedy, Thriller, Romance",0.0,1.2589,2025-06-13,"Diganth Manchale, Dhanu Harsha, Nidhi Subbaiah, Nirup Bhandari, Radhika Narayan",Dark Comdey Suspense Thriller,0.0
Love Mocktail,Kannada,"Romance, Drama",6.3,1.1534,2020-01-31,"Darling Krishna, Milana Nagaraj, Amrutha Iyengar, Rachana Inder, Kushi Achar","Love Mocktail is a 2020 Indian Kannada-language romantic drama film directed by Krishna in his director debut and jointly produced by Krishna, Milana Nagaraj. The film stars Krishna, Milana Nagaraj in the lead roles. The film was released on 31 January 2020.",15.0
Dia,Kannada,"Drama, Romance",6.196,1.1053,2020-02-07,"Kushee Ravi, Dheekshith Shetty, Pruthvi Ambaar, Pavitra Lokesh, Aravind Rao","Dia tells the story of a young, introvert girl whose routine life brightens up when she falls for Rohith, one of her fellow college mates. Being an introvert girl and trying to express her love becomes the biggest challenge of her life. This romantic drama will make you lose yourself in the emotional journey of a girl falling in love.",23.0
Kantara Chapter 1,Kannada,"Action, Thriller",0.0,0.9614,2025-10-02,"Rishab Shetty, Jayaram, Rakesh Poojari","Prequel to Kantara Chapter 2 (2022). Plot TBA, but is expected to explore the ancient roots of the Bhuta Kola ritual and the mythological lore surrounding divine land guardianship.",0.0
Sapta Sagaradaache Ello - Side B,Kannada,"Romance, Drama",7.4,0.8328,2023-11-17,"Rakshit Shetty, Rukmini Vasanth, Chaithra J Achar, JP Tuminad, Gopalkrishna Deshpande",Manu is released from prison and strives to rekindle his love with Priya.,15.0
Kaalapatthar,Kannada,"Drama, Thriller",0.0,0.8244,2024-09-13,"Vikky Varun, Dhanya Ramkumar, T. S. Nagabharana, Rajesh Nataranga, Sampath Maitreya",,0.0
