Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID,Language,release_year,Genres_Source,Moods,Primary_Mood
devara: part 1,"action, drama",7.0,25.0806,2024-09-26,"n.t. rama rao jr., saif ali khan, prakash raj, srikanth, kalaiyarasan","devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. unbeknownst to him, his brother bhaira is plotting a conspiracy against him. as events unfold, devara passes on his legacy to his mild-mannered and timid son, varada.",197.0,,telugu,2024.0,original,"approval, fear",approval
kuberaa,"crime, thriller, drama",7.5,6.8024,2025-06-19,"dhanush, nagarjuna akkineni, jim sarbh, rashmika mandanna, k. bhagyaraj","a ruthless billionaire, neeraj, uses beggars as benamis to launder money, with the help of a disgraced civil submit servant, deepak. one of the beggars, deva, escapes with 10,000 crores and becomes the target of a deadly manhunt. he meets sameera, who joins him in his mission to use the money to uplift society's poor. with deepak's help, deva fights back.",10.0,,telugu,2025.0,original,"anger, excitement",anger
rrr,"action, adventure, drama",7.75,6.4942,2022-03-24,"n.t. rama rao jr., ram charan, olivia morris, ray stevenson, alison doody",a fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,1434.0,,telugu,2022.0,original,admiration,admiration
hari hara veera mallu: part 1 sword vs spirit,"action, adventure, drama",6.125,2.9638,2025-07-23,"pawan kalyan, bobby deol, nidhhi agerwal, nasaar, sunil varma","set in the 1650s mughal era, veera mallu, a robin hood-like outlaw with secret motives is hired to steal the koh-i-noor from aurangzeb s palace. he is joined by a crew of misfits, each talented in their own way, to complete the mission.",8.0,727121.0,telugu,2025.0,original,curiosity,curiosity
kalki 2898-ad,"drama, action, fantasy, science fiction",6.5,5.9076,2024-06-26,"amitabh bachchan, prabhas, deepika padukone, kamal haasan, saswata chatterjee","in the year 2898 ad, around 6000 years after kurukshetra war, ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",130.0,,telugu,2024.0,original,optimism,optimism
supreme,"romance, action, comedy",5.462,4.4298,2016-05-05,"sai durgha tej, raashii khanna, ravi kishan, rajendra prasad, posani krishna murali","a taxi driver and orphan join a battle to save royal heirs from a corrupt, greedy businessman.",13.0,,telugu,2016.0,original,"love, desire",love
kannappa,"fantasy, history, drama",6.0,4.1725,2025-06-26,"vishnu manchu, preity mukhundhan, akshay kumar, mohan babu, mohanlal","after witnessing the cruel sacrifice of his childhood friend, an atheist warrior rejects religion until love forces him to find his own faith.",5.0,,telugu,2025.0,original,"caring, love",caring
b?hubali: the beginning,"action, adventure, fantasy, drama",7.5,3.6697,2015-07-10,"prabhas, rana daggubati, tamannaah bhatia, anushka shetty, ramya krishnan",,0.0,,telugu,2015.0,original,"excitement, anger",excitement
pushpa - the rise,"action, drama, thriller",7.0,3.8343,2021-12-16,"allu arjun, rashmika mandanna, jagadeesh bandari, sunil varma, anasuya bharadwaj","pushpa raj is a coolie who rises in the world of red sandalwood smuggling. along the way, he doesnt shy from making an enemy or two.",149.0,,telugu,2021.0,original,"approval, excitement",approval
pushpa 2 - the rule,"action, drama, thriller, crime",6.627,3.8061,2024-12-04,"allu arjun, rashmika mandanna, fahadh faasil, jagadeesh bandari, rao ramesh","as his smuggling empire grows, a brazen pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",83.0,,telugu,2024.0,original,"excitement, anger",excitement
hit: the third case,"crime, thriller, action",7.4,3.4838,2025-04-30,"nani, srinidhi shetty, komalee prasad, rao ramesh, surya srinivas",the homicide intervention team (hit) sends ruthless police officer arjun sarkaar to find a group of killers and stop their grisly murder spree.,31.0,,telugu,2025.0,original,"anger, excitement",anger
rajanna,drama,4.0,3.1714,2011-11-12,"annie, nagarjuna akkineni, sneha, nasaar, shweta menon","the film is set in the nelakondapalli village of khammam district in nizam princely state of hyderabad of the late 1940s. the feudal society is under the vice-like grip of an aristocratic family and its head, a dorasani (shwetha menon). mallamma (baby annie) is the darling of the village, who is living in perpetual humiliation. they seek solace in her songs. brought up by sambayya, an old man, she develops a mysterious attachment to a basil tree which is regarded as holy by the entire village.",2.0,,telugu,2011.0,original,caring,caring
sita ramam,"history, romance, drama",7.783,3.1726,2022-08-05,"dulquer salmaan, mrunal thakur, rashmika mandanna, sumanth, gautham vasudev menon","afreen, a rebellious pakistani student sets ablaze the car of an indian in london. angered afreen returns to pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. however, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by ram to sita. as afreen sets out to find ram, there begins her journey of discovering the secret behind the 20-year-old letter.",84.0,,telugu,2022.0,original,curiosity,curiosity
shivam,"action, comedy, romance",4.857,3.0025,2015-10-02,"ram pothineni, raashii khanna, abhimanyu singh, brahmanandam, jayaprakash reddy",the story of a boy (ram) who wants to make his love life and marriage a success. the movie is directed by srinivas reddy and produced by ravi kishore. the film is produced under sri sravanthi movies banner.,7.0,,telugu,2015.0,original,love,love
salaar: part 1 - ceasefire,"action, crime, drama",6.7,2.9653,2023-12-21,"prabhas, prithviraj sukumaran, shruti haasan, easwari rao, jagapati babu","set in the fictional dystopian city-state of khansaar, the film follows the friendship between deva, a tribesman, and varadha, the prince of khansaar. when a coup d'tat is planned by his father's ministers and his relatives, varadha enlists deva's help to become khansaar's undisputed ruler.",90.0,,telugu,2023.0,original,"excitement, anger",excitement
sye raa narasimha reddy,"drama, history, war",6.379,2.9391,2019-09-27,"chiranjeevi, sudeep, vijay sethupathi, ravi kishan, jagapati babu","gwalior fort, during the indian rebellion of 1857. in a moment of despair, lakshmibai, rani of jhansi, encourages her men by telling them the heroic story of uyyalawada narasimha reddy, a brave telugu chieftain who took up arms in 1846 to protest against the numerous arbitrariness and crimes perpetrated by the leaders and military forces of the east india company.",33.0,,telugu,2019.0,original,"approval, admiration",approval
kingdom,"action, thriller",6.0,2.7929,2025-07-31,"vijay deverakonda, bhagyashri borse, satyadev kancharana, venkitesh v p, ronit kamra","soori, a modest police constable, is unintentionally dragged into a dangerous undercover spy operation in sri lanka for the indian government . his journey is intimately linked to his estranged brother siva, and the risks involved on their reunion.",1.0,,telugu,2025.0,original,"excitement, anger",excitement
b?hubali 2: the conclusion,"action, adventure, fantasy",7.462,2.7711,2017-04-27,"prabhas, rana daggubati, anushka shetty, sathyaraj, nasaar",,0.0,,telugu,2017.0,original,"excitement, anger",excitement
anjaneyulu,"action, comedy",5.7,2.6639,2009-08-12,"ravi teja, nayanthara, prakash raj, sonu sood, nasaar","employed with hmtv, pavan/abhimanyu lives in hyderabad and is in constant touch with his retired father, krishnamurthy, and mother. his boss, sudarshan babu, hires a creative consultant, surya/prabhakar garu, their tv channel undergoes a number of changes, and he gets to interview various people. he meets with anjali, an employee with airtel, and both dramatically fall in love. while investigating corrupt politicians, he comes across evidence and decides to join the gang of a gangster named bada. still involved in gathering evidence, his world will come crashing around him when he will be told that his parents and many others have been killed after their bus was torched by hooligans. he sets out to also trace who was responsible behind their killing - not knowing that his life is also in danger.",5.0,,telugu,2009.0,original,love,love
game changer,"action, drama",4.7,2.6486,2025-01-09,"ram charan, anjali, kiara advani, s. j. suryah, srikanth","ram, a newly appointed district collector, takes charge in a city in andhra pradesh and immediately confronts the deeply entrenched corruption and inefficiency plaguing the government. determined to bring reforms, he initiates sweeping changes, sparking a fierce conflict with a powerful state minister.",16.0,,telugu,2025.0,original,"approval, excitement",approval
hi nanna,"drama, family, romance",7.91,2.4345,2023-12-07,"nani, mrunal thakur, baby kiara khanna, jayaram, shilpa tulaskar","six-year-old mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, viraj, a dedicated single parent and successful fashion photographer. her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, pluto. a chance encounter with a kind woman named yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. set against a backdrop of love, sacrifice, and redemption, mahis story is a heartfelt exploration of family, resilience, and the enduring power of connection.",50.0,,telugu,2023.0,original,"caring, love",caring
robinhood,action,5.25,2.2084,2025-03-28,"nithiin, sreeleela, vennela kishore, rajendra prasad, ketika sharma","ram, a modern-day robin hood, is a master thief who unexpectedly finds himself switching sides. when fate forces him to become the personal security officer for neera, a rollercoaster ride of action, comedy, and unexpected twists follows.",6.0,,telugu,2025.0,original,"surprise, amusement",surprise
uppu kappurambu,"comedy, drama",7.3,2.1622,2025-07-04,"keerthy suresh, suhas, babu mohan, shatru, rameshwari talluri","a fictional village faces an extraordinary crisis as the cemetery runs out of space. uproarious chaos ensues as the community rallies together, finding inventive solutions to overcome this unusual predicament.",3.0,,telugu,2025.0,original,optimism,optimism
aarya,"drama, romance, action",6.6,2.1428,2004-05-07,"allu arjun, anuradha mehta, siva balaji, subbaraju, sunil varma","aarya is a happy-go-lucky young man who goes to college. when he falls in love with geetha at first sight, he proposes to her - in front of her boyfriend ajay, who recently also proposed to her. she bluntly refuses, but ...",39.0,,telugu,2004.0,original,"joy, love",joy
hit: the 2nd case,"crime, thriller, action",6.97,2.1161,2022-12-01,"adivi sesh, meenakshi chaudhary, komalee prasad, maganti srinath, rao ramesh","krishna dev aka kd, a laidback cop working in andhra pradesh state hit, takes on a gruesome murder case. as kd unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",33.0,,telugu,2022.0,original,approval,approval
munna,"action, romance",4.7,2.0433,2007-05-02,"prabhas, ileana d'cruz, prakash raj, rahul dev, kota srinivasa rao","munna (prabhas) is a college student. his aim is to finish off mafia don kakha (prakash raj) who keeps the entire city under his grip. munna has personal vengeance to take on kakha. an honest politician srinivasa rao (kota srinivasa rao) relentlessly works to expose kakha but gets killed. meanwhile, munnas classmate nidhi (ileana d'cruz) falls in love with him. the twist in the tale is that kakha is none other than his estranged father who tries to sell off his mother and was responsible for the death of his mother and his kid sister. another don in the city named aatma, who is the opposition of kakha (rahul dev) asks munna to join him. but munna refuses his proposal. munna starts to beat kakha and the mind game begins. kakha's second wife and son-daughter left him and join munna. after some incidents including the death of his best friend, munna finds out that aatma was working for kakha all along.",17.0,,telugu,2007.0,original,"love, sadness",love
bhairavam,"action, crime, thriller",6.0,2.0354,2025-05-30,"bellamkonda srinivas, manchu manoj, nara rohith, aditi shankar, anandhi",the relationship between three childhood friends begins to crumble as their loyalty is tested.,0.0,,telugu,2025.0,original,"excitement, anger",excitement
the family star,"family, romance, comedy, drama, action",4.583,1.9578,2024-04-04,"vijay deverakonda, mrunal thakur, rohini hattangadi, vasuki anand, abhinaya","govardhan, a devoted architect from hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. when he discovers indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding",12.0,,telugu,2024.0,original,"caring, surprise",caring
shaakuntalam,"romance, history, fantasy",4.2,1.9192,2023-04-14,"samantha ruth prabhu, dev mohan, aditi balan, ananya nagalla, sachin khedekar","shakuntala, daughter of meneka and rishi vishwamitra lives in forest with her teacher, rishi kanva. in the forest she meets king dushyant, falls in love with him and the two get married. after she has their baby (prince bharata), dushyant leaves her in the forest with a promise to come back for her soon. however, due to a sage's curse, dushyant forgets all about shakuntala, until destiny brings them together again.",6.0,,telugu,2023.0,original,love,love
8 vasantalu,"drama, romance",7.8,1.9167,2025-06-20,"ananthika sanilkumar, ravi theja duggirala, hanu reddy, kanna pasunoori",a talented karate student embarks on a journey of self-discovery where she experiences both love and loss.,4.0,,telugu,2025.0,original,"curiosity, love",curiosity
the raja saab,"horror, comedy, romance",6.0,1.857,2025-12-05,"prabhas, malavika mohanan, nidhhi agerwal, riddhi kumar, brahmanandam","a young heir embraces both his royal heritage and rebellious spirit as he rises to power, establishing unprecedented rules during his reign as raja saab.",0.0,,telugu,2025.0,original,"approval, excitement",approval
virupaksha,"horror, mystery, thriller",7.172,1.8178,2023-04-20,"sai durgha tej, samyuktha, brahmaji, rajiv kanakala, ravi krishna","set in a village named rudravanam in 1990's, surya along with his mother, visit there after a long time. suddenly a series of mysterious deaths occur due to an unknown person's occult practice and whole village is scared. will surya find the person causing the deaths and save the village?",29.0,,telugu,2023.0,original,"caring, fear",caring
andarivaadu,"comedy, drama",5.0,1.628,2005-06-04,"chiranjeevi, rimi sen, tabu, prakash raj, hema","andarivaadu (telugu: ) is a 2005 tollywood comedy film directed by srinu vytla. the film stars chiranjeevi, rimi sen, tabu and prakash raj. this movie was a hit. govinda rajulu (chiranjeevi) is a 'mesthri' who drinks a lot and lives a care-free life. his son siddartha (chiranjeevi), on the other hand, is a popular tv show host and is a more disciplined man the opposite of his dad. the son gets his father married to shanti (tabu) to sober him.",2.0,,telugu,2005.0,original,"amusement, caring",amusement
