Title,Cast,Overview,Language,Genres,Primary_Mood,Moods,Genres_Source,Rating,release_year,has_release_year,Popularity_Scaled,Vote_Count_Scaled,Rating_Scaled,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,thriller,tv movie,war,western,Language_english,Language_hindi,Language_kannada,Language_telugu,mood_admiration,mood_amusement,mood_anger,mood_approval,mood_caring,mood_confusion,mood_curiosity,mood_desire,mood_excitement,mood_fear,mood_joy,mood_love,mood_neutral,mood_optimism,mood_realization,mood_sadness,mood_surprise
devara: part 1,"n.t. rama rao jr., saif ali khan, prakash raj, srikanth, kalaiyarasan","devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. unbeknownst to him, his brother bhaira is plotting a conspiracy against him. as events unfold, devara passes on his legacy to his mild-mannered and timid son, varada.",telugu,"action, drama",approval,"approval, fear",original,7.0,2024.0,1,3.545255333305985,0.8270627242153367,0.6718472912563657,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
kuberaa,"dhanush, nagarjuna akkineni, jim sarbh, rashmika mandanna, k. bhagyaraj","a ruthless billionaire, neeraj, uses beggars as benamis to launder money, with the help of a disgraced civil submit servant, deepak. one of the beggars, deva, escapes with 10,000 crores and becomes the target of a deadly manhunt. he meets sameera, who joins him in his mission to use the money to uplift society's poor. with deepak's help, deva fights back.",telugu,"crime, thriller, drama",anger,"anger, excitement",original,7.5,2025.0,1,1.8017721082816565,-0.1705837141814971,1.058675462498952,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rrr,"n.t. rama rao jr., ram charan, olivia morris, ray stevenson, alison doody",a fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,telugu,"action, adventure, drama",admiration,admiration,original,7.75,2022.0,1,1.743545266646023,1.5107088687023005,1.2520895481202452,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hari hara veera mallu: part 1 sword vs spirit,"pawan kalyan, bobby deol, nidhhi agerwal, nasaar, sunil varma","set in the 1650s mughal era, veera mallu, a robin hood-like outlaw with secret motives is hired to steal the koh-i-noor from aurangzeb s palace. he is joined by a crew of misfits, each talented in their own way, to complete the mission.",telugu,"action, adventure, drama",curiosity,curiosity,original,6.125,2025.0,1,0.8233375558898559,-0.2398476087208453,-0.0051020084181604,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kalki 2898-ad,"amitabh bachchan, prabhas, deepika padukone, kamal haasan, saswata chatterjee","in the year 2898 ad, around 6000 years after kurukshetra war, ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",telugu,"drama, action, fantasy, science fiction",optimism,optimism,original,6.5,2024.0,1,1.625786742381401,0.6844867661695963,0.2850191200137793,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
supreme,"sai durgha tej, raashii khanna, ravi kishan, rajendra prasad, posani krishna murali","a taxi driver and orphan join a battle to save royal heirs from a corrupt, greedy businessman.",telugu,"romance, action, comedy",love,"love, desire",original,5.462,2016.0,1,1.2780033597488154,-0.0873437411909825,-0.5180361634858301,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
kannappa,"vishnu manchu, preity mukhundhan, akshay kumar, mohan babu, mohanlal","after witnessing the cruel sacrifice of his childhood friend, an atheist warrior rejects religion until love forces him to find his own faith.",telugu,"fantasy, history, drama",caring,"caring, love",original,6.0,2025.0,1,1.2078656290771177,-0.3797987481869782,-0.101809051228807,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
b?hubali: the beginning,"prabhas, rana daggubati, tamannaah bhatia, anushka shetty, ramya krishnan",,telugu,"action, adventure, fantasy, drama",excitement,"excitement, anger",original,7.5,2015.0,1,1.0601222428335724,-0.9982459939628232,1.058675462498952,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pushpa - the rise,"allu arjun, rashmika mandanna, jagadeesh bandari, sunil varma, anasuya bharadwaj","pushpa raj is a coolie who rises in the world of red sandalwood smuggling. along the way, he doesnt shy from making an enemy or two.",telugu,"action, drama, thriller",approval,"approval, excitement",original,7.0,2021.0,1,1.1101710305291512,0.7312348043477526,0.6718472912563657,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
pushpa 2 - the rule,"allu arjun, rashmika mandanna, fahadh faasil, jagadeesh bandari, rao ramesh","as his smuggling empire grows, a brazen pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",telugu,"action, drama, thriller, crime",excitement,"excitement, anger",original,6.627,2024.0,1,1.101718591934786,0.5311035045848624,0.383273475509396,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
