Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID
Laila,"Comedy, Romance",5.8,79.8794,2/14/2025,"Vishwak Sen, Akanksha Sharma, Babloo Prithiveeraj, Abhimanyu Singh, Vineet Kumar","Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",5.0,
Devara: Part 1,"Action, Drama",7.0,25.0806,9/26/2024,"N.T. Rama Rao Jr., Saif Ali Khan, Prakash Raj, Srikanth, Kalaiyarasan","Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",197.0,
Kuberaa,"Crime, Thriller, Drama",7.5,6.8024,6/19/2025,"Dhanush, Nagarjuna Akkineni, Jim Sarbh, Rashmika Mandanna, K. Bhagyaraj","A ruthless billionaire, Neeraj, uses beggars as benamis to launder money, with the help of a disgraced civil submit servant, Deepak. One of the beggars, Deva, escapes with 10,000 crores and becomes the target of a deadly manhunt. He meets Sameera, who joins him in his mission to use the money to uplift society's poor. With Deepak's help, Deva fights back.",10.0,
RRR,"Action, Adventure, Drama",7.75,6.4942,3/24/2022,"N.T. Rama Rao Jr., Ram Charan, Olivia Morris, Ray Stevenson, Alison Doody",A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,1434.0,
Hari Hara Veera Mallu: Part 1  Sword vs Spirit,"action, adventure, drama",6.125,2.9638,2025-07-23,"Pawan Kalyan, Bobby Deol, Nidhhi Agerwal, Nasaar, Sunil Varma","Set in the 1650s Mughal Era, Veera Mallu, a Robin Hood-like outlaw with secret motives is hired to steal the Koh-i-Noor from Aurangzeb’s palace. He is joined by a crew of misfits, each talented in their own way, to complete the mission.",8.0,727121.0
Kalki 2898-AD,"Drama, Action, Fantasy, Science Fiction",6.5,5.9076,6/26/2024,"Amitabh Bachchan, Prabhas, Deepika Padukone, Kamal Haasan, Saswata Chatterjee","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",130.0,
Supreme,"Romance, Action, Comedy",5.462,4.4298,5/5/2016,"Sai Durgha Tej, Raashii Khanna, Ravi Kishan, Rajendra Prasad, Posani Krishna Murali","A taxi driver and orphan join a battle to save royal heirs from a corrupt, greedy businessman.",13.0,
Kannappa,"Fantasy, History, Drama",6.0,4.1725,6/26/2025,"Vishnu Manchu, Preity Mukhundhan, Akshay Kumar, Mohan Babu, Mohanlal","After witnessing the cruel sacrifice of his childhood friend, an atheist warrior rejects religion until love forces him to find his own faith.",5.0,
B?hubali: The Beginning,"Action, Adventure, Fantasy, Drama",7.5,3.6697,7/10/2015,"Prabhas, Rana Daggubati, Tamannaah Bhatia, Anushka Shetty, Ramya Krishnan",,,
Pushpa - The Rise,"Action, Drama, Thriller",7.0,3.8343,12/16/2021,"Allu Arjun, Rashmika Mandanna, Jagadeesh Bandari, Sunil Varma, Anasuya Bharadwaj","Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesnt shy from making an enemy or two.",149.0,
Pushpa 2 - The Rule,"Action, Drama, Thriller, Crime",6.627,3.8061,12/4/2024,"Allu Arjun, Rashmika Mandanna, Fahadh Faasil, Jagadeesh Bandari, Rao Ramesh","As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.",83.0,
HIT: The Third Case,"Crime, Thriller, Action",7.4,3.4838,4/30/2025,"Nani, Srinidhi Shetty, Komalee Prasad, Rao Ramesh, Surya Srinivas",The Homicide Intervention Team (HIT) sends ruthless police officer Arjun Sarkaar to find a group of killers and stop their grisly murder spree.,31.0,
Rajanna,Drama,4.0,3.1714,11/12/2011,"Annie, Nagarjuna Akkineni, Sneha, Nasaar, Shweta Menon","The film is set in the Nelakondapalli village of khammam district in Nizam Princely State of Hyderabad of the late 1940s. The feudal society is under the vice-like grip of an aristocratic family and its head, a Dorasani (Shwetha Menon). Mallamma (Baby Annie) is the darling of the village, who is living in perpetual humiliation. They seek solace in her songs. Brought up by Sambayya, an old man, she develops a mysterious attachment to a basil tree which is regarded as holy by the entire village.",2.0,
Sita Ramam,"History, Romance, Drama",7.783,3.1726,8/5/2022,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Gautham Vasudev Menon","Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.",84.0,
Shivam,"Action, Comedy, Romance",4.857,3.0025,10/2/2015,"Ram Pothineni, Raashii Khanna, Abhimanyu Singh, Brahmanandam, Jayaprakash Reddy",The story of a boy (Ram) who wants to make his love life and marriage a success. The movie is directed by Srinivas Reddy and produced by Ravi Kishore. The film is produced under Sri Sravanthi movies banner.,7.0,
Salaar: Part 1 - Ceasefire,"Action, Crime, Drama",6.7,2.9653,12/21/2023,"Prabhas, Prithviraj Sukumaran, Shruti Haasan, Easwari Rao, Jagapati Babu","Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'tat is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",90.0,
